input_size,divide_and_conquer,brute_force
2780,0.000086656,0.003051564
2785,0.000087012,0.003018422
2790,0.000087476,0.003029256
2795,0.000086410,0.003040194
2800,0.000086391,0.003050755
2805,0.000086611,0.003063646
2810,0.000086778,0.003072589
2815,0.000086170,0.003083530
2820,0.000086623,0.003097995
2825,0.000087169,0.003105279
2830,0.000087566,0.003118163
2835,0.000088136,0.003127431
2840,0.000088113,0.003138198
2845,0.000089273,0.003149317
2850,0.000088456,0.003163816
2855,0.000088865,0.003171171
2860,0.000088648,0.003182295
2865,0.000088870,0.003193500
2870,0.000088837,0.003219751
2875,0.000089434,0.003217653
2880,0.000090298,0.003253019
2885,0.000089959,0.003237779
2890,0.000089231,0.003248965
2895,0.000090674,0.003260150
2900,0.000090024,0.003273349
2905,0.000089918,0.003283551
2910,0.000089131,0.003294099
2915,0.000089989,0.003305156
2920,0.000090043,0.003323283
2925,0.000089363,0.003358144
2930,0.000090335,0.003340352
2935,0.000090621,0.003350540
2940,0.000090751,0.003362558
2945,0.000090577,0.003485927
2950,0.000090914,0.003460784
2955,0.000091122,0.003396009
2960,0.000091092,0.003408381
2965,0.000091725,0.003424188
2970,0.000091830,0.003463946
2975,0.000091310,0.003447030
2980,0.000094844,0.003458378
2985,0.000092145,0.003471501
2990,0.000092182,0.003480383
2995,0.000092734,0.003489040
3000,0.000091994,0.003499709
3005,0.000092303,0.003512284
3010,0.000092749,0.003528459
3015,0.000092353,0.003543111
3020,0.000093287,0.003547360
3025,0.000092965,0.003559007
3030,0.000092839,0.003572118
3035,0.000093175,0.003582250
3040,0.000093079,0.003594096
3045,0.000093296,0.003605025
3050,0.000092782,0.003617814
3055,0.000093298,0.003634198
3060,0.000093256,0.003670681
3065,0.000093763,0.003652352
3070,0.000093391,0.003669356
3075,0.000094261,0.003678806
3080,0.000094764,0.003688896
3085,0.000094843,0.003700744
3090,0.000095526,0.003711730
3095,0.000096027,0.003726466
3100,0.000096289,0.003739719
3105,0.000096656,0.003748722
3110,0.000096017,0.003760715
3115,0.000097004,0.003774546
3120,0.000097166,0.003784814
3125,0.000097597,0.003796057
3130,0.000098752,0.003808106
