input_size,divide_and_conquer,brute_force
14070,0.000482966,0.076660696
14100,0.000484941,0.076860843
14130,0.000484767,0.077388893
14160,0.000486827,0.078052761
14190,0.000484779,0.077864908
14220,0.000485520,0.078242946
14250,0.000487245,0.078742443
14280,0.000486466,0.078880966
14310,0.000486671,0.079237819
14340,0.000514391,0.079688767
14370,0.000491300,0.079846890
14400,0.000492969,0.080360586
14430,0.000494421,0.080731357
14460,0.000495280,0.080855175
14490,0.000495972,0.081212587
14520,0.000501555,0.082129767
14550,0.000501680,0.081865880
14580,0.000503025,0.082269975
14610,0.000504121,0.082926182
14640,0.000508203,0.082891978
14670,0.000508007,0.083276083
14700,0.000509083,0.083795304
14730,0.000509431,0.083932446
14760,0.000514366,0.084429936
14790,0.000514364,0.084766111
14820,0.000515778,0.084925981
14850,0.000515994,0.085291334
14880,0.000519210,0.085817586
14910,0.000518515,0.085954314
14940,0.000519633,0.086380897
14970,0.000524411,0.087244926
15000,0.000524755,0.087157981
15030,0.000526302,0.087405983
15060,0.000524639,0.087921707
15090,0.000525412,0.088512977
15120,0.000528936,0.088621415
15150,0.000529570,0.088758993
15180,0.000529469,0.089086522
15210,0.000530581,0.090463845
15240,0.000531687,0.089838415
15270,0.000532940,0.090193069
15300,0.000534700,0.091036565
15330,0.000536455,0.090970658
15360,0.000533246,0.091335349
15390,0.000536257,0.091797641
15420,0.000539944,0.092305472
15450,0.000539421,0.092523899
15480,0.000538806,0.092742270
15510,0.000542187,0.093173650
15540,0.000544018,0.093749354
15570,0.000545230,0.093739088
15600,0.000543331,0.094106472
15630,0.000545815,0.094677447
15660,0.000547096,0.094925278
15690,0.000546374,0.095806491
15720,0.000553065,0.095561606
15750,0.000548213,0.096313256
15780,0.000549373,0.096471004
15810,0.000547935,0.096648038
15840,0.000549135,0.097223585
15870,0.000551278,0.097381460
15900,0.000555508,0.097774263
15930,0.000554052,0.098338409
15960,0.000556750,0.098558003
15990,0.000554300,0.099144525
16020,0.000582718,0.099563291
16050,0.000556521,0.100202658
16080,0.000556033,0.100188741
16110,0.000559506,0.100348753
16140,0.000555843,0.100924137
16170,0.000566555,0.101225382
16200,0.000561678,0.101476423
16230,0.000560043,0.102049249
16260,0.000560149,0.102301228
16290,0.000560661,0.102930655
16320,0.000562184,0.103102012
16350,0.000561044,0.104368510
16380,0.000563664,0.104382488
16410,0.000565437,0.104132546
16440,0.000569005,0.104994237
16470,0.000576141,0.104933663
16500,0.000572930,0.105463393
16530,0.000574136,0.105678575
